id,title,description,technologies
1,Stock Management System - Student Project,"Project title: Stock Management System - Student Project. This is a inventory management designed as
a student project with clear learning objectives. The application implements core features expected
for this category and focuses on simplicity, usability, and code readability for easy grading and
extension. Key features include user-friendly interfaces, basic CRUD operations where applicable,
input validation, and responsive design for desktop and mobile. The implementation uses technologies
such as HTML, CSS, JavaScript, Node.js/Express, MongoDB/MySQL and follows standard project structure
with separate frontend and backend code where appropriate. Deliverables should include source code,
a short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.","HTML, CSS, JavaScript; Node.js/Express; MongoDB/MySQL"
2,Taxi Booking App - Course Project,"Project title: Taxi Booking App - Course Project. This is a taxi / ride app designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as Flutter or React Native, Node.js backend, Google Maps API and follows standard project structure
with separate frontend and backend code where appropriate. Deliverables should include source code,
a short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.",Flutter or React Native; Node.js backend; Google Maps API
3,Fare Estimator - Course Project,"Project title: Fare Estimator - Course Project. This is a taxi / ride app designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as Flutter or React Native, Node.js backend, Google Maps API and follows standard project structure
with separate frontend and backend code where appropriate. Deliverables should include source code,
a short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.",Flutter or React Native; Node.js backend; Google Maps API
4,Showtime Finder - Final Year Project,"Project title: Showtime Finder - Final Year Project. This is a movie booking designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as HTML, CSS, JavaScript, React, Node.js/Express, Payment integration and follows standard project
structure with separate frontend and backend code where appropriate. Deliverables should include
source code, a short README explaining setup steps, sample data, and a short demo video or
screenshots to show functionality. The project is intended for beginners-to-intermediate students
and is suitable for demonstration in coursework or portfolios. Acceptance criteria: the core
features work end-to-end, basic tests exist or manual test instructions are provided, and the UI is
navigable and clear.","HTML, CSS, JavaScript; React; Node.js/Express; Payment integration"
5,Personal Portfolio - Mini Project,"Project title: Personal Portfolio - Mini Project. This is a portfolio website designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as HTML, CSS, JavaScript, Responsive design, Static hosting and follows standard project structure
with separate frontend and backend code where appropriate. Deliverables should include source code,
a short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.","HTML, CSS, JavaScript; Responsive design; Static hosting"
6,Online Ticketing - Course Project,"Project title: Online Ticketing - Course Project. This is a movie booking designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as HTML, CSS, JavaScript, React, Node.js/Express, Payment integration and follows standard project
structure with separate frontend and backend code where appropriate. Deliverables should include
source code, a short README explaining setup steps, sample data, and a short demo video or
screenshots to show functionality. The project is intended for beginners-to-intermediate students
and is suitable for demonstration in coursework or portfolios. Acceptance criteria: the core
features work end-to-end, basic tests exist or manual test instructions are provided, and the UI is
navigable and clear.","HTML, CSS, JavaScript; React; Node.js/Express; Payment integration"
7,Peer-to-peer Chat - Mini Project,"Project title: Peer-to-peer Chat - Mini Project. This is a chat app designed as a student project
with clear learning objectives. The application implements core features expected for this category
and focuses on simplicity, usability, and code readability for easy grading and extension. Key
features include user-friendly interfaces, basic CRUD operations where applicable, input validation,
and responsive design for desktop and mobile. The implementation uses technologies such as HTML,
CSS, JavaScript, Socket.io, Node.js, MongoDB and follows standard project structure with separate
frontend and backend code where appropriate. Deliverables should include source code, a short README
explaining setup steps, sample data, and a short demo video or screenshots to show functionality.
The project is intended for beginners-to-intermediate students and is suitable for demonstration in
coursework or portfolios. Acceptance criteria: the core features work end-to-end, basic tests exist
or manual test instructions are provided, and the UI is navigable and clear.","HTML, CSS, JavaScript; Socket.io; Node.js; MongoDB"
8,Retail Inventory App - Mini Project,"Project title: Retail Inventory App - Mini Project. This is a inventory management designed as a
student project with clear learning objectives. The application implements core features expected
for this category and focuses on simplicity, usability, and code readability for easy grading and
extension. Key features include user-friendly interfaces, basic CRUD operations where applicable,
input validation, and responsive design for desktop and mobile. The implementation uses technologies
such as HTML, CSS, JavaScript, Node.js/Express, MongoDB/MySQL and follows standard project structure
with separate frontend and backend code where appropriate. Deliverables should include source code,
a short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.","HTML, CSS, JavaScript; Node.js/Express; MongoDB/MySQL"
9,Feedback Analyzer - Mini Project,"Project title: Feedback Analyzer - Mini Project. This is a sentiment analysis (nlp) designed as a
student project with clear learning objectives. The application implements core features expected
for this category and focuses on simplicity, usability, and code readability for easy grading and
extension. Key features include user-friendly interfaces, basic CRUD operations where applicable,
input validation, and responsive design for desktop and mobile. The implementation uses technologies
such as Python, NLTK / spaCy / HuggingFace, Flask/Django and follows standard project structure with
separate frontend and backend code where appropriate. Deliverables should include source code, a
short README explaining setup steps, sample data, and a short demo video or screenshots to show
functionality. The project is intended for beginners-to-intermediate students and is suitable for
demonstration in coursework or portfolios. Acceptance criteria: the core features work end-to-end,
basic tests exist or manual test instructions are provided, and the UI is navigable and clear.",Python; NLTK / spaCy / HuggingFace; Flask/Django
10,7-Day Forecast App - Course Project,"Project title: 7-Day Forecast App - Course Project. This is a weather app designed as a student
project with clear learning objectives. The application implements core features expected for this
category and focuses on simplicity, usability, and code readability for easy grading and extension.
Key features include user-friendly interfaces, basic CRUD operations where applicable, input
validation, and responsive design for desktop and mobile. The implementation uses technologies such
as HTML, CSS, JavaScript, Fetch API to weather service (OpenWeatherMap), React/Vanilla JS and
follows standard project structure with separate frontend and backend code where appropriate.
Deliverables should include source code, a short README explaining setup steps, sample data, and a
short demo video or screenshots to show functionality. The project is intended for beginners-to-
intermediate students and is suitable for demonstration in coursework or portfolios. Acceptance
criteria: the core features work end-to-end, basic tests exist or manual test instructions are
provided, and the UI is navigable and clear.","HTML, CSS, JavaScript; Fetch API to weather service (OpenWeatherMap); React/Vanilla JS"
